hour,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_median,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_median,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count,completed_vehicles_mean,completed_vehicles_standard_deviation,completed_vehicles_median,completed_vehicles_min,completed_vehicles_max,completed_vehicles_count
0,49.77,0.0,49.77,49.77,49.77,8,21.04,0.0,21.04,21.04,21.04,8,669,0.0,669.0,669,669,8
1,49.72,0.0,49.72,49.72,49.72,8,21.08,0.0,21.08,21.08,21.08,8,438,0.0,438.0,438,438,8
2,47.88,0.0,47.88,47.88,47.88,8,20.22,0.0,20.22,20.22,20.22,8,324,0.0,324.0,324,324,8
3,46.56,0.0,46.56,46.56,46.56,8,18.96,0.0,18.96,18.96,18.96,8,240,0.0,240.0,240,240,8
4,46.03,0.0,46.03,46.03,46.03,8,18.46,0.0,18.46,18.46,18.46,8,368,0.0,368.0,368,368,8
5,53.93,0.0,53.93,53.93,53.93,8,24.2,0.0,24.2,24.2,24.2,8,955,0.0,955.0,955,955,8
6,67.71,0.0,67.71,67.71,67.71,8,32.89,0.0,32.89,32.89,32.89,8,2142,0.0,2142.0,2142,2142,8
7,106.06,0.0,106.06,106.06,106.06,8,33.95,0.0,33.95,33.95,33.95,8,2720,0.0,2720.0,2720,2720,8
8,103.84,0.0,103.84,103.84,103.84,8,32.13,0.0,32.13,32.13,32.13,8,2864,0.0,2864.0,2864,2864,8
9,104.23,0.0,104.23,104.23,104.23,8,33.94,0.0,33.94,33.94,33.94,8,2731,0.0,2731.0,2731,2731,8
10,105.72,0.0,105.72,105.72,105.72,8,34.86,0.0,34.86,34.86,34.86,8,2698,0.0,2698.0,2698,2698,8
11,104.24,0.0,104.24,104.24,104.24,8,34.1,0.0,34.1,34.1,34.1,8,2758,0.0,2758.0,2758,2758,8
12,106.3,0.0,106.3,106.3,106.3,8,32.87,0.0,32.87,32.87,32.87,8,2809,0.0,2809.0,2809,2809,8
13,105.66,0.0,105.66,105.66,105.66,8,32.68,0.0,32.68,32.68,32.68,8,2835,0.0,2835.0,2835,2835,8
14,103.83,0.0,103.83,103.83,103.83,8,31.66,0.0,31.66,31.66,31.66,8,2882,0.0,2882.0,2882,2882,8
15,104.45,0.0,104.45,104.45,104.45,8,30.89,0.0,30.89,30.89,30.89,8,3034,0.0,3034.0,3034,3034,8
16,103.29,0.0,103.29,103.29,103.29,8,28.83,0.0,28.83,28.83,28.83,8,3079,0.0,3079.0,3079,3079,8
17,102.87,0.0,102.87,102.87,102.87,8,28.65,0.0,28.65,28.65,28.65,8,3123,0.0,3123.0,3123,3123,8
18,104.06,0.0,104.06,104.06,104.06,8,31.94,0.0,31.94,31.94,31.94,8,2908,0.0,2908.0,2908,2908,8
19,104.59,0.0,104.59,104.59,104.59,8,35.65,0.0,35.65,35.65,35.65,8,2592,0.0,2592.0,2592,2592,8
20,108.96,0.0,108.96,108.96,108.96,8,38.61,0.0,38.61,38.61,38.61,8,2313,0.0,2313.0,2313,2313,8
21,113.97,0.0,113.97,113.97,113.97,8,40.78,0.0,40.78,40.78,40.78,8,2183,0.0,2183.0,2183,2183,8
22,122.71,0.0,122.71,122.71,122.71,8,44.95,0.0,44.95,44.95,44.95,8,1873,0.0,1873.0,1873,1873,8
23,136.01,0.0,136.01,136.01,136.01,8,50.19,0.0,50.19,50.19,50.19,8,1511,0.0,1511.0,1511,1511,8
