hour,average_travel_time_mean,average_travel_time_standard_deviation,average_travel_time_median,average_travel_time_min,average_travel_time_max,average_travel_time_count,average_waiting_time_mean,average_waiting_time_standard_deviation,average_waiting_time_median,average_waiting_time_min,average_waiting_time_max,average_waiting_time_count,completed_vehicles_mean,completed_vehicles_standard_deviation,completed_vehicles_median,completed_vehicles_min,completed_vehicles_max,completed_vehicles_count
0,49.77,0.0,49.77,49.77,49.77,1,21.04,0.0,21.04,21.04,21.04,1,669,0.0,669,669,669,1
1,49.72,0.0,49.72,49.72,49.72,1,21.08,0.0,21.08,21.08,21.08,1,438,0.0,438,438,438,1
2,47.88,0.0,47.88,47.88,47.88,1,20.22,0.0,20.22,20.22,20.22,1,324,0.0,324,324,324,1
3,46.56,0.0,46.56,46.56,46.56,1,18.96,0.0,18.96,18.96,18.96,1,240,0.0,240,240,240,1
4,46.03,0.0,46.03,46.03,46.03,1,18.46,0.0,18.46,18.46,18.46,1,368,0.0,368,368,368,1
5,53.93,0.0,53.93,53.93,53.93,1,24.2,0.0,24.2,24.2,24.2,1,955,0.0,955,955,955,1
6,67.71,0.0,67.71,67.71,67.71,1,32.89,0.0,32.89,32.89,32.89,1,2142,0.0,2142,2142,2142,1
7,106.06,0.0,106.06,106.06,106.06,1,33.95,0.0,33.95,33.95,33.95,1,2720,0.0,2720,2720,2720,1
8,103.84,0.0,103.84,103.84,103.84,1,32.13,0.0,32.13,32.13,32.13,1,2864,0.0,2864,2864,2864,1
9,104.23,0.0,104.23,104.23,104.23,1,33.94,0.0,33.94,33.94,33.94,1,2731,0.0,2731,2731,2731,1
10,105.72,0.0,105.72,105.72,105.72,1,34.86,0.0,34.86,34.86,34.86,1,2698,0.0,2698,2698,2698,1
11,104.24,0.0,104.24,104.24,104.24,1,34.1,0.0,34.1,34.1,34.1,1,2758,0.0,2758,2758,2758,1
12,106.3,0.0,106.3,106.3,106.3,1,32.87,0.0,32.87,32.87,32.87,1,2809,0.0,2809,2809,2809,1
13,105.66,0.0,105.66,105.66,105.66,1,32.68,0.0,32.68,32.68,32.68,1,2835,0.0,2835,2835,2835,1
14,103.83,0.0,103.83,103.83,103.83,1,31.66,0.0,31.66,31.66,31.66,1,2882,0.0,2882,2882,2882,1
15,104.45,0.0,104.45,104.45,104.45,1,30.89,0.0,30.89,30.89,30.89,1,3034,0.0,3034,3034,3034,1
16,103.29,0.0,103.29,103.29,103.29,1,28.83,0.0,28.83,28.83,28.83,1,3079,0.0,3079,3079,3079,1
17,102.87,0.0,102.87,102.87,102.87,1,28.65,0.0,28.65,28.65,28.65,1,3123,0.0,3123,3123,3123,1
18,104.06,0.0,104.06,104.06,104.06,1,31.94,0.0,31.94,31.94,31.94,1,2908,0.0,2908,2908,2908,1
19,104.59,0.0,104.59,104.59,104.59,1,35.65,0.0,35.65,35.65,35.65,1,2592,0.0,2592,2592,2592,1
20,108.96,0.0,108.96,108.96,108.96,1,38.61,0.0,38.61,38.61,38.61,1,2313,0.0,2313,2313,2313,1
21,113.97,0.0,113.97,113.97,113.97,1,40.78,0.0,40.78,40.78,40.78,1,2183,0.0,2183,2183,2183,1
22,122.71,0.0,122.71,122.71,122.71,1,44.95,0.0,44.95,44.95,44.95,1,1873,0.0,1873,1873,1873,1
23,136.01,0.0,136.01,136.01,136.01,1,50.19,0.0,50.19,50.19,50.19,1,1511,0.0,1511,1511,1511,1
