run,hour,gamma,beta,p,wins,calibration_decisions
1,0,0.698131700798,1.221730476396,2,9,25
1,1,2.443460952792,0.698131700798,1,6,25
1,2,0.698131700798,1.221730476396,2,6,25
1,3,1.396263401595,0.872664625997,2,8,25
1,4,1.396263401595,0.872664625997,2,23,25
1,5,0.698131700798,1.047197551197,2,6,25
1,6,0.698131700798,1.221730476396,2,11,25
1,7,0.698131700798,1.221730476396,2,5,25
1,8,3.14159265359,0.698131700798,2,5,25
1,9,3.14159265359,0.698131700798,1,4,25
1,10,3.14159265359,0.523598775598,2,10,25
1,11,3.14159265359,0.698131700798,1,4,25
1,12,3.14159265359,0.523598775598,2,8,25
1,13,3.14159265359,1.047197551197,2,4,25
1,14,2.443460952792,0.698131700798,1,3,25
1,15,3.14159265359,0.523598775598,2,5,25
1,16,2.443460952792,0.698131700798,1,4,25
1,17,3.14159265359,0.872664625997,1,4,25
1,18,2.443460952792,0.872664625997,1,5,25
1,19,3.14159265359,0.523598775598,2,8,25
1,20,0.698131700798,1.221730476396,2,7,25
1,21,0.698131700798,1.221730476396,2,8,25
1,22,0.698131700798,1.221730476396,2,4,25
1,23,0.698131700798,1.221730476396,2,8,25
2,0,0.698131700798,0.698131700798,1,5,25
2,1,0.698131700798,0.872664625997,1,5,25
2,2,0.698131700798,1.221730476396,2,4,25
2,3,0.698131700798,1.221730476396,2,10,25
2,4,1.745329251994,1.047197551197,1,15,25
2,5,0.698131700798,1.221730476396,2,5,25
2,6,0.698131700798,1.221730476396,2,10,25
2,7,3.14159265359,0.523598775598,2,8,25
2,8,3.14159265359,0.523598775598,2,5,25
2,9,3.14159265359,0.523598775598,2,8,25
2,10,3.14159265359,0.523598775598,2,7,25
2,11,3.14159265359,0.523598775598,2,6,25
2,12,3.14159265359,0.523598775598,2,7,25
2,13,3.14159265359,0.523598775598,2,8,25
2,14,3.14159265359,0.523598775598,2,9,25
2,15,0.698131700798,0.872664625997,1,4,25
2,16,3.14159265359,0.523598775598,2,8,25
2,17,0.698131700798,1.047197551197,2,3,25
2,18,3.14159265359,0.872664625997,1,4,25
2,19,3.14159265359,0.523598775598,2,10,25
2,20,3.14159265359,0.523598775598,2,8,25
2,21,2.443460952792,0.698131700798,1,5,25
2,22,0.698131700798,0.698131700798,1,6,25
2,23,0.698131700798,0.872664625997,1,4,25
3,0,0.698131700798,1.221730476396,2,6,25
3,1,0.698131700798,1.221730476396,2,18,25
3,2,0.698131700798,0.872664625997,1,4,25
3,3,1.396263401595,0.872664625997,2,22,25
3,4,1.396263401595,0.872664625997,2,14,25
3,5,0.698131700798,1.221730476396,2,8,25
3,6,3.14159265359,0.523598775598,2,7,25
3,7,3.14159265359,0.523598775598,2,4,25
3,8,3.14159265359,0.523598775598,2,7,25
3,9,2.443460952792,0.872664625997,1,4,25
3,10,3.14159265359,0.523598775598,2,6,25
3,11,3.14159265359,0.523598775598,2,5,25
3,12,3.14159265359,0.523598775598,2,12,25
3,13,3.14159265359,0.523598775598,2,6,25
3,14,3.14159265359,0.523598775598,2,3,25
3,15,3.14159265359,0.523598775598,2,12,25
3,16,0.698131700798,0.698131700798,1,5,25
3,17,3.14159265359,0.523598775598,2,7,25
3,18,3.14159265359,0.872664625997,1,3,25
3,19,3.14159265359,0.698131700798,1,3,25
3,20,2.443460952792,0.698131700798,1,3,25
3,21,0.698131700798,1.221730476396,2,5,25
3,22,0.698131700798,1.221730476396,2,14,25
3,23,0.698131700798,1.221730476396,2,12,25
